"Package","Version"
"abind","1.4-8"
"anndata","0.7.5.6"
"annotables","0.2.0"
"annotate","1.80.0"
"AnnotationDbi","1.64.1"
"AnnotationFilter","1.26.0"
"ape","5.8-1"
"aplot","0.2.6"
"argparse","2.2.3"
"arrow","18.1.0.1"
"AsioHeaders","1.30.2-1"
"askpass","1.2.0"
"assertthat","0.2.1"
"Azimuth","0.5.0"
"babelgene","22.9"
"backports","1.5.0"
"base","4.3.3"
"base64enc","0.1-3"
"basilisk","1.12.1"
"basilisk.utils","1.12.1"
"beachmat","2.18.1"
"beakr","0.4.3"
"beeswarm","0.4.0"
"BH","1.87.0-1"
"Biobase","2.62.0"
"BiocFileCache","2.10.2"
"BiocGenerics","0.48.1"
"BiocIO","1.12.0"
"BiocManager","1.30.26"
"BiocNeighbors","1.20.2"
"BiocParallel","1.36.0"
"BiocSingular","1.18.0"
"BiocVersion","3.18.1"
"biomaRt","2.58.2"
"Biostrings","2.70.3"
"bit","4.6.0"
"bit64","4.0.5"
"bitops","1.0-9"
"blob","1.2.4"
"bluster","1.10.0"
"boot","1.3-32"
"BPCells","0.1.0"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.7"
"BSgenome","1.70.2"
"BSgenome.Hsapiens.UCSC.hg38","1.4.5"
"bslib","0.8.0"
"cachem","1.1.0"
"Cairo","1.6-5"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"caTools","1.18.3"
"CCPlotR","1.0.0"
"cellranger","1.1.0"
"celltalker","0.0.7.9000"
"checkmate","2.3.3"
"circlize","0.4.16"
"class","7.3-23"
"classInt","0.4-11"
"cli","3.6.5"
"clipr","0.8.0"
"clue","0.3-66"
"cluster","2.1.8.1"
"clusterCrit","1.3.0"
"clusterProfiler","4.10.1"
"ClusterR","1.3.3"
"clustree","0.5.1"
"cmdfun","1.0.2"
"CNEr","1.38.0"
"codetools","0.2-20"
"collections","0.3.9"
"colorspace","2.1-2"
"colourpicker","1.3.0"
"common","1.1.3"
"commonmark","2.0.0"
"compiler","4.3.3"
"ComplexHeatmap","2.21.2"
"CompQuadForm","1.4.4"
"corpcor","1.6.10"
"corrplot","0.95"
"cowplot","1.1.3"
"cpp11","0.5.2"
"crayon","1.5.3"
"credentials","2.0.1"
"crosstalk","1.2.1"
"curl","7.0.0"
"cyclocomp","1.1.1"
"data.table","1.17.8"
"DataEditR","0.1.6"
"datasets","4.3.3"
"DBI","1.2.3"
"dbplyr","2.5.0"
"dbscan","1.2-0"
"DelayedArray","0.28.0"
"DelayedMatrixStats","1.24.0"
"deldir","2.0-4"
"densvis","1.10.3"
"Deriv","4.2.0"
"desc","1.4.3"
"DESeq2","1.42.1"
"devtools","2.4.5"
"dichromat","2.0-0.1"
"diffobj","0.3.6"
"digest","0.6.37"
"dir.expiry","1.10.0"
"DirichletMultinomial","1.44.0"
"doBy","4.6.24"
"doParallel","1.0.17"
"DOSE","3.28.2"
"dotCall64","1.2"
"DoubletFinder","2.0.4"
"downlit","0.4.4"
"downloader","0.4.1"
"dplyr","1.1.4"
"dqrng","0.4.1"
"DT","0.33"
"e1071","1.7-16"
"edgeR","3.42.4"
"ellipsis","0.3.2"
"EnhancedVolcano","1.13.2"
"enrichplot","1.22.0"
"EnsDb.Hsapiens.v86","2.99.0"
"ensembldb","2.26.0"
"entropy","1.3.2"
"europepmc","0.4.3"
"evaluate","1.0.5"
"extrafont","0.19"
"extrafontdb","1.1"
"fansi","1.0.6"
"farver","2.1.2"
"fastcluster","1.3.0"
"fastDummies","1.7.4"
"fastmap","1.2.0"
"fastmatch","1.1-6"
"fgsea","1.28.0"
"fields","16.2"
"filelock","1.0.3"
"findpython","1.0.9"
"fitdistrplus","1.2-1"
"FNN","1.1.4.1"
"fontawesome","0.5.2"
"forcats","1.0.0"
"foreach","1.5.2"
"foreign","0.8-90"
"forestplot","3.1.3"
"formatR","1.14"
"formattable","0.2.1"
"Formula","1.2-5"
"fs","1.6.6"
"fst","0.9.8"
"fstcore","0.10.0"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"future","1.34.0"
"future.apply","1.11.2"
"gargle","1.5.2"
"genekitr","1.2.8"
"generics","0.1.4"
"geneset","0.2.7"
"genesorteR","0.4.3"
"GenomeInfoDb","1.38.8"
"GenomeInfoDbData","1.2.11"
"GenomicAlignments","1.38.2"
"GenomicFeatures","1.54.4"
"GenomicRanges","1.54.1"
"gert","2.1.1"
"getopt","1.20.4"
"GetoptLong","1.0.5"
"ggbeeswarm","0.7.2"
"ggbump","0.1.0"
"ggdendro","0.2.0"
"ggforce","0.4.2"
"ggfun","0.1.8"
"ggh4x","0.3.1"
"gghalves","0.1.4"
"ggnewscale","0.5.0"
"ggplot2","3.5.2"
"ggplotify","0.1.2"
"ggprism","1.0.5"
"ggpubr","0.6.0"
"ggraph","2.2.1"
"ggrastr","1.0.2"
"ggrepel","0.9.5"
"ggridges","0.5.6"
"ggsci","3.2.0"
"ggsignif","0.6.4"
"ggtext","0.1.2"
"ggthemes","5.1.0"
"ggtree","3.10.1"
"ggvenn","0.1.10"
"gh","1.4.1"
"Giotto","1.1.2"
"gitcreds","0.1.2"
"glmGamPoi","1.14.3"
"GlobalOptions","0.1.2"
"globals","0.18.0"
"glue","1.8.0"
"Gmisc","3.0.3"
"gmp","0.7-5"
"GO.db","3.18.0"
"goftest","1.2-3"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"GOSemSim","2.28.1"
"gplots","3.1.3.1"
"graphics","4.3.3"
"graphlayouts","1.2.1"
"grDevices","4.3.3"
"grid","4.3.3"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"gridtext","0.1.5"
"gson","0.1.0"
"gtable","0.3.6"
"gtools","3.9.5"
"harmony","1.2.3"
"HDF5Array","1.30.1"
"hdf5r","1.3.11"
"HDO.db","0.99.1"
"heatmap3","1.1.9"
"here","1.0.1"
"hexbin","1.28.4"
"highr","0.11"
"Hmisc","5.1-3"
"hms","1.1.3"
"htmlTable","2.4.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpgd","2.0.2"
"httpuv","1.6.15"
"httr","1.4.7"
"httr2","1.0.3"
"ica","1.0-3"
"ids","1.0.1"
"igraph","2.1.4"
"ini","0.3.1"
"IRanges","2.36.0"
"irlba","2.3.5.1"
"isoband","0.2.7"
"iterators","1.0.14"
"janitor","2.2.0"
"JASPAR2020","0.99.10"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KEGGREST","1.42.0"
"kernlab","0.9-33"
"KernSmooth","2.23-26"
"knitr","1.48"
"ks","1.14.3"
"labeling","0.4.3"
"lambda.r","1.2.4"
"languageserver","0.3.16"
"later","1.3.2"
"lattice","0.22-7"
"lazyeval","0.2.2"
"leiden","0.4.3.1"
"leidenbase","0.1.35"
"lfa","2.2.0"
"lifecycle","1.0.4"
"limma","3.58.1"
"lintr","3.1.2"
"listenv","0.9.1"
"lme4","1.1-35.5"
"lmtest","0.9-40"
"locfdr","1.1-8"
"locfit","1.5-9.10"
"logr","1.3.9"
"LoomExperiment","1.18.0"
"lsa","0.73.3"
"lubridate","1.9.3"
"magick","2.8.4"
"magrittr","2.0.4"
"mapproj","1.2.11"
"maps","3.4.3"
"markdown","1.13"
"MASS","7.3-60.0.1"
"mathjaxr","1.8-0"
"Matrix","1.6-5"
"MatrixGenerics","1.14.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"mclust","6.1.1"
"megadepth","1.10.0"
"memoise","2.0.1"
"metadat","1.4-0"
"metafor","4.8-0"
"metapod","1.8.0"
"methods","4.3.3"
"mgcv","1.9-1"
"microbenchmark","1.5.0"
"mime","0.13"
"miniUI","0.1.1.1"
"minqa","1.2.8"
"modelr","0.1.11"
"msigdbr","7.5.1"
"MuDataSeurat","0.0.1.0000"
"multicool","1.0.1"
"multtest","2.58.0"
"munsell","0.5.1"
"mvtnorm","1.3-3"
"Nebulosa","1.10.0"
"nicheDE","0.0.0.9000"
"nlme","3.1-166"
"nloptr","2.2.1"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"openssl","2.2.1"
"openxlsx","4.2.7"
"optparse","1.7.5"
"org.Hs.eg.db","3.18.0"
"pak","0.9.0"
"paletteer","1.6.0.9000"
"pals","1.9"
"parallel","4.3.3"
"parallelly","1.45.1"
"patchwork","1.2.0"
"pbapply","1.7-4"
"pbkrtest","0.5.3"
"pheatmap","1.0.12"
"pillar","1.9.0"
"pkgbuild","1.4.4"
"pkgconfig","2.0.3"
"pkgdown","2.1.0"
"pkgload","1.4.0"
"plogr","0.2.0"
"plotly","4.10.4"
"PlotTools","0.3.1"
"plyr","1.8.9"
"png","0.1-8"
"Polychrome","1.5.1"
"polyclip","1.10-7"
"polynom","1.4-1"
"poolr","1.2-0"
"poweRlaw","1.0.0"
"pracma","2.4.4"
"praise","1.0.0"
"presto","1.0.0"
"prettyunits","1.2.0"
"prismatic","1.1.2"
"processx","3.8.4"
"profvis","0.3.8"
"progress","1.2.3"
"progressr","0.16.0"
"promises","1.3.0"
"ProtGenerics","1.34.0"
"proxy","0.4-27"
"ps","1.9.1"
"purrr","1.0.2"
"qs","0.27.3"
"quadprog","1.5-8"
"quantreg","5.99.1"
"qvalue","2.34.0"
"R.cache","0.16.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.12.3"
"R6","2.6.1"
"ragg","1.3.2"
"RANN","2.6.2"
"RApiSerialize","0.1.4"
"rappdirs","0.3.3"
"rbibutils","2.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.0"
"RcppAnnoy","0.0.22"
"RcppArmadillo","14.0.0-1"
"RcppEigen","0.3.4.0.2"
"RcppGSL","0.3.13"
"RcppHNSW","0.6.0"
"RcppHungarian","0.3"
"RcppML","0.5.6"
"RcppParallel","5.1.11-1"
"RcppProgress","0.4.2"
"RcppRoll","0.3.1"
"RcppTOML","0.2.2"
"RcppZiggurat","0.1.6"
"RCurl","1.98-1.16"
"Rdpack","2.6.4"
"reactR","0.6.1"
"readr","2.1.5"
"readxl","1.4.3"
"reformulas","0.4.1"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"reshape2","1.4.4"
"restfulr","0.0.15"
"reticulate","1.39.0"
"rex","1.2.1"
"Rfast","2.1.0"
"Rfast2","0.1.5.2"
"rgdal","1.6-7"
"rhandsontable","0.3.8"
"rhdf5","2.46.1"
"rhdf5filters","1.14.1"
"Rhdf5lib","1.24.2"
"RhpcBLASctl","0.23-42"
"Rhtslib","2.4.1"
"rjson","0.2.23"
"rlang","1.1.6"
"rmarkdown","2.28"
"Rnanoflann","0.0.3"
"ROCR","1.0-11"
"roxygen2","7.3.2"
"rpart","4.1.24"
"rprojroot","2.1.1"
"Rsamtools","2.18.0"
"RSpectra","0.16-2"
"RSQLite","2.3.7"
"rstatix","0.7.2"
"rstudioapi","0.17.1"
"rsvd","1.0.5"
"rtracklayer","1.62.0"
"Rtsne","0.17"
"Rttf2pt1","1.3.14"
"rversions","2.1.2"
"s2","1.1.7"
"S4Arrays","1.2.1"
"S4Vectors","0.40.2"
"S7","0.2.0"
"sass","0.4.9"
"ScaledMatrix","1.10.0"
"scales","1.4.0"
"scater","1.28.0"
"scattermore","1.2"
"scatterpie","0.2.4"
"scatterplot3d","0.3-44"
"scCustomize","2.1.2"
"sceasy","0.0.7"
"scran","1.28.2"
"sctransform","0.4.1"
"scuttle","1.10.3"
"semla","1.3.1"
"seqLogo","1.68.0"
"sessioninfo","1.2.2"
"Seurat","5.2.1"
"SeuratData","0.2.2.9001"
"SeuratDisk","0.0.0.9021"
"SeuratObject","5.0.2"
"seuratTools","0.6.1"
"shadowtext","0.1.4"
"shape","1.4.6.1"
"shiny","1.9.1"
"shinyBS","0.61.1"
"shinydashboard","0.7.2"
"shinyFiles","0.9.3"
"shinyhelper","0.3.2"
"shinyjs","2.1.0"
"shinyWidgets","0.8.7"
"Signac","1.14.0"
"SingleCellExperiment","1.24.0"
"SingleCellSignalR","1.14.0"
"SingleR","2.4.1"
"singleseqgset","0.1.2.9000"
"singlet","0.99.36"
"sitmo","2.0.2"
"snakecase","0.11.1"
"snow","0.4-4"
"SnowballC","0.7.1"
"sourcetools","0.1.7-1"
"sp","2.1-4"
"spacexr","2.2.1"
"spam","2.10-0"
"SparseArray","1.2.4"
"SparseM","1.84-2"
"sparseMatrixStats","1.14.0"
"spatstat.data","3.1-2"
"spatstat.explore","3.3-2"
"spatstat.geom","3.3-2"
"spatstat.random","3.3-1"
"spatstat.sparse","3.1-0"
"spatstat.univar","3.0-1"
"spatstat.utils","3.2-0"
"spData","2.3.4"
"splines","4.3.3"
"statmod","1.5.0"
"stats","4.3.3"
"stats4","4.3.3"
"stringfish","0.16.0"
"stringi","1.8.4"
"stringr","1.5.1"
"stxBrain.SeuratData","0.1.2"
"styler","1.10.3"
"SummarizedExperiment","1.32.0"
"survival","3.7-0"
"sys","3.4.2"
"systemfonts","1.1.0"
"tcltk","4.3.3"
"tensor","1.5"
"Ternary","2.3.3"
"testthat","3.2.1.1"
"textshaping","0.4.0"
"TFBSTools","1.40.0"
"TFMPvalue","0.0.9"
"tibble","3.2.1"
"tidygraph","1.3.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidytree","0.4.6"
"timechange","0.3.0"
"tinytex","0.52"
"tools","4.3.3"
"treeio","1.26.0"
"triebeard","0.4.1"
"tweenr","2.0.3"
"tximport","1.28.0"
"tzdb","0.4.0"
"unglue","0.1.0"
"unigd","0.1.2"
"urlchecker","1.0.1"
"urltools","1.7.3.1"
"usethis","3.0.0"
"utf8","1.2.4"
"utils","4.3.3"
"uuid","1.2-1"
"uwot","0.2.2"
"vctrs","0.6.5"
"velociraptor","1.12.0"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.6.5"
"waiter","0.2.5"
"waldo","0.5.3"
"webutils","1.2.1"
"whisker","0.4.1"
"wiggleplotr","1.24.0"
"withr","3.0.1"
"wk","0.9.4"
"xfun","0.47"
"XML","3.99-0.17"
"xml2","1.3.6"
"xmlparsedata","1.0.5"
"xopen","1.0.1"
"xtable","1.8-4"
"XVector","0.42.0"
"yaml","2.3.10"
"yulab.utils","0.1.9"
"zeallot","0.1.0"
"zellkonverter","1.12.1"
"zigg","0.0.2"
"zip","2.3.1"
"zlibbioc","1.48.2"
"zoo","1.8-12"
