gene,group
CXCL12,iCAF_source
FAP,iCAF_source
PDPN,iCAF_source
PDGFRA,iCAF_source
IL6,iCAF_source
CCL2,iCAF_source
TGFB1,iCAF_source
CLEC4C,pDC_identity
IL3RA,pDC_identity
LILRA4,pDC_identity
IDO1,Tolerogenic_signature
CD274,Tolerogenic_signature
PDCD1LG2,Tolerogenic_signature
LGALS9,Tolerogenic_signature
VSIR,Tolerogenic_signature
IL10,Tolerogenic_signature
IFNA1,TypeI_IFN_signature
IFNB1,TypeI_IFN_signature
CXCL10,TypeI_IFN_signature
IRF7,TypeI_IFN_signature
PDCD1,Immune_checkpoint_receptors
CTLA4,Immune_checkpoint_receptors
FOXP3,Immune_checkpoint_receptors
CD68,Macrophage_markers
CD163,Macrophage_markers
MRC1,Macrophage_markers
EPCAM,Tumor_markers
KRT8,Tumor_markers
KRT18,Tumor_markers
CXCR4,Other_chemokines_CXCR4_axis
ACKR3,Other_chemokines_CXCR4_axis
CXCL9,Other_chemokines_CXCR4_axis
CXCL10,Other_chemokines_CXCR4_axis
IL1B,Inflammatory_CAFs
CXCL1,Inflammatory_CAFs
CXCL2,Inflammatory_CAFs
CXCL8,Inflammatory_CAFs
FOXP3,Treg_signature
IL2RA,Treg_signature
IKZF2,Treg_signature
CTLA4,Treg_signature
